Budget_Centre	Budget_Centre_Description	Project_Number	Project_Description	Ledger_Code	Active_Flag
100	College Office - CAL	010002	CAL Office	OP	Y
100	College Office - CAL	010004	Arts - Marketing	OP	Y
100	College Office - CAL	010018	Arts - Research	OP	Y
100	College Office - CAL	010043	PVC - Research Support	OP	Y
100	College Office - CAL	091100	Revenue & Gen Operating - Faculty Office Arts	OP	Y
100	College Office - CAL	091102	Budget RT Revenue & Expenditure - unknown ARC Grants	RT	Y
100	College Office - CAL	091103	Budget RT Revenue & Expenditure - unknown NHMRC Grants	RT	Y
100	College Office - CAL	091104	Budget RT Revenue & Expenditure - unknown Other Research	RT	Y
100	College Office - CAL	092012	Art - RMDB Revenue Budget- ARC	RT	Y
100	College Office - CAL	092013	Art - RMDB Revenue Budget- NHMRC	RT	Y
100	College Office - CAL	092014	Art - RMDB Revenue Budget- Other Rsch	RT	Y
100	College Office - CAL	092015	Budget RT Revenue & Expenditure - unknown Non Research	RT	Y
100	College Office - CAL	093200	Assets - BC 100 - Faculty Office Arts	OP	Y
100	College Office - CAL	093202	Assets - BC 115 - Office of the School of Humanities	OP	Y
100	College Office - CAL	093203	Assets - BC 116 - Office of the School of Social Sciences	OP	Y
100	College Office - CAL	093204	Assets - BC 117 - Office of the School of TCOTA	OP	Y
100	College Office - CAL	093310	Assets - BC 103 - Music	OP	Y
100	College Office - CAL	093312	Assets - BC 108 - Asian Languages and Studies	OP	Y
100	College Office - CAL	093313	Assets - BC 110 - Politics and International Relations	OP	Y
100	College Office - CAL	093314	Assets - BC 111 - History and Classics	OP	Y
100	College Office - CAL	093315	Assets - BC 112 - Philosophy and Gender Studies	OP	Y
100	College Office - CAL	093316	Assets - BC 118 - Aboriginal Studies	OP	Y
100	College Office - CAL	093317	Assets - BC 119 - English	OP	Y
100	College Office - CAL	093318	Assets - BC 120 - European Languages and Studies	OP	Y
100	College Office - CAL	093319	Assets - BC 121 - Journalism, Media and Communications	OP	Y
100	College Office - CAL	093320	Assets - BC 122 - Social Work	OP	Y
100	College Office - CAL	093321	Assets - BC 123 - Sociology and Criminology	OP	Y
100	College Office - CAL	093322	Assets - BC 124 - Arts	OP	Y
100	College Office - CAL	093323	Assets - BC 125 - Theatre	OP	Y
100	College Office - CAL	093324	Assets - BC 126 - Asia Institute Tasmania	OP	Y
100	College Office - CAL	093325	Assets - BC 127 - Institute for Study of Social Change	OP	Y
100	College Office - CAL	096000	BUD_001 - Faculty Office Arts Reconciliation	OP	Y
100	College Office - CAL	098000	Accruals OP - Faculty Office - Arts	OP	Y
100	College Office - CAL	098212	Accruals RT - Faculty Office - Arts	RT	Y
100	College Office - CAL	098345	Assets - BC 101 - Global Cultures & Languages	OP	Y
100	College Office - CAL	102938	SDF - CAL Office	OP	Y
100	College Office - CAL	103868	RIBG: Faculty of Arts	OP	N
100	College Office - CAL	103911	Philosophy ARC Position (Malpas)	OP	N
100	College Office - CAL	103977	TILES Administrative Support	OP	Y
100	College Office - CAL	104189	Deputy Dean - Research Support	OP	N
100	College Office - CAL	104604	ADI - Research Support	OP	Y
100	College Office - CAL	104609	ADR - Research Support	OP	Y
100	College Office - CAL	105098	Arts - Course Review costs	OP	Y
100	College Office - CAL	105286	Arts - Internationalisation	OP	Y
100	College Office - CAL	105287	Arts - Learning & Teaching	OP	Y
100	College Office - CAL	105486	Arts - Research Travel Allocation - Academic	OP	Y
100	College Office - CAL	105487	Arts - Research Travel Allocation - HDR	OP	Y
100	College Office - CAL	105740	Arts - Business Development	OP	Y
100	College Office - CAL	106361	Arts - Minor Works	OP	Y
100	College Office - CAL	106428	14-ARC Centre of Excellence for Electromaterials Science	RT	Y
100	College Office - CAL	106749	Arts-Levy Income for Restricted Contract-CoE ACES Support	OP	Y
100	College Office - CAL	106906	Arts-Levy Income for Restricted-Gilbert DECRA	OP	Y
100	College Office - CAL	107056	15-Invasive Synthetic Biomedical Brain Device	RT	Y
100	College Office - CAL	107309	The Public Face of the Public Service	RT	Y
100	College Office - CAL	107943	Arts - WHS	OP	Y
100	College Office - CAL	108274	Dennis Grube - Research Support	OP	N
100	College Office - CAL	108651	16-Malpas-Place, Commonality and the Human	RT	Y
100	College Office - CAL	108811	CAIA Operating	OP	Y
100	College Office - CAL	108812	MERG Operating	OP	Y
100	College Office - CAL	108854	ADLT - Research Support	OP	Y
100	College Office - CAL	109076	16-CDS Group-Goldfarb	OP	N
100	College Office - CAL	109079	16-CDS Group-Ryan	OP	N
100	College Office - CAL	109245	DASSH Conference 2016	OP	N
100	College Office - CAL	109288	IPL Student Support Funds	OP	Y
100	College Office - CAL	110138	Hothouse Scheme Funds	OP	Y
100	College Office - CAL	110194	17-Lester-Arts REP 2017 Proposal	OP	Y
101	Global Cultures & Languages	098342	Revenue & Gen Operating - Global Cultures & Languages	OP	Y
101	Global Cultures & Languages	098343	Accruals OP - Global Cultures & Languages	OP	Y
101	Global Cultures & Languages	098344	Accruals RT - Global Cultures & Languages	RT	Y
101	Global Cultures & Languages	103861	Operating: Aboriginal Studies	OP	Y
101	Global Cultures & Languages	104378	China In-Country Program	OP	Y
101	Global Cultures & Languages	104379	RUILI Lombok Program	OP	Y
101	Global Cultures & Languages	106461	Japan In-Country Program	OP	Y
101	Global Cultures & Languages	106822	Asian Studies Overseas Study	OP	Y
101	Global Cultures & Languages	108046	ACICIS Admin Support	OP	Y
101	Global Cultures & Languages	108144	2014 - New Colombo Plan Mobility Pilot - Japan	RT	N
101	Global Cultures & Languages	108146	2015 New Colombo Plan - India 13924	RT	N
101	Global Cultures & Languages	108147	2015 New Colombo Plan - Nepal 13940	RT	N
101	Global Cultures & Languages	108148	2015 New Colombo Plan - Indonesia 13920	RT	Y
101	Global Cultures & Languages	108286	15-Tanasaldy-Indonesian Chinese social inclusion	RT	Y
101	Global Cultures & Languages	109160	Breadth Unit-Intro to German-Badger	OP	Y
101	Global Cultures & Languages	109294	16-Harrison-Violence and the politics of memory in Taiwan	RT	Y
101	Global Cultures & Languages	109478	2016 New Colombo Plan - Nepal 16526	RT	Y
101	Global Cultures & Languages	109479	2016 New Colombo Plan - China 16517	RT	Y
101	Global Cultures & Languages	109480	2016 New Colombo Plan - Indonesia 16339	RT	Y
101	Global Cultures & Languages	109481	2016 New Colombo Plan - Japan 16597	RT	Y
101	Global Cultures & Languages	109571	2017 Community Engagement Grant: Kaz Ross	OP	Y
101	Global Cultures & Languages	109825	Operating: Global Cultures & Languages	OP	Y
101	Global Cultures & Languages	109885	Operating: French	OP	Y
101	Global Cultures & Languages	109886	Operating: German	OP	Y
101	Global Cultures & Languages	109887	Operating: Asian Studies	OP	Y
101	Global Cultures & Languages	109888	Operating: Japanese	OP	Y
101	Global Cultures & Languages	109889	Operating: Chinese	OP	Y
101	Global Cultures & Languages	109890	Operating: Indonesian	OP	Y
101	Global Cultures & Languages	110132	Breadth Unit - Intro to Japanese - Suganuma	OP	Y
101	Global Cultures & Languages	110133	Breadth Unit - Intro to Indonesian - Tanasaldy	OP	Y
103	Music	091105	Revenue & Gen Operating - Music	OP	Y
103	Music	098293	Accruals OP - Music	OP	Y
103	Music	103854	Operating: Music	OP	Y
103	Music	104348	AISOI - Aust International Symphony Orchestra Institute	OP	Y
103	Music	104653	Southern Gospel Choir	OP	Y
103	Music	105267	2013 OLT Citation for Outstanding Contributions - Monkhouse	RT	Y
103	Music	105466	Music Technology Projects	OP	N
103	Music	106613	Music Education and Community Outreach Program	OP	Y
103	Music	107341	2015 Forbes HDR	OP	Y
103	Music	108544	2016 Visiting F&S - Prof Dr Antonio Baldassarre	OP	Y
103	Music	109256	David Carter - ARA	OP	Y
103	Music	109954	2016 VC Award Outstanding Research Performance: Philpott	OP	Y
104	AMEB	012000	Specific Activities AMEB	RT	Y
104	AMEB	012001	Special Projects - AMEB	RT	Y
104	AMEB	012002	Office Assistants-AMEB	RT	Y
104	AMEB	012003	Supervisors-AMEB	RT	Y
104	AMEB	091110	Revenue & Gen Operating - AMEB	OP	Y
104	AMEB	093201	Assets - AMEB	OP	Y
104	AMEB	098001	Accruals OP - AMEB	OP	Y
104	AMEB	098213	Accruals RT - AMEB	RT	Y
104	AMEB	100828	On-Line Written Exam Entry Fees	RT	Y
105	Riawunna	091115	Revenue & Gen Operating - Riawunna	OP	Y
105	Riawunna	093311	Assets - BC 105 - Riawunna	OP	Y
105	Riawunna	098294	Accruals OP - Riawunna	OP	Y
105	Riawunna	104321	ISP - General Operating	RT	Y
105	Riawunna	104322	Indigenous Tutorial Assistance Scheme - Tertiary Tuition	RT	Y
105	Riawunna	104323	ISP - Murina Program	RT	Y
105	Riawunna	108930	Breadth Unit-Indigenous Life Worlds-Harper	OP	N
105	Riawunna	109081	16-CDS Group-Spotswood	OP	N
110	Politics and International Relations	015070	Research Donations - Prof Emeritus Peter Boyce	RT	N
110	Politics and International Relations	091140	Revenue & Gen Operating - Politics & International Relations	OP	Y
110	Politics and International Relations	098296	Accruals OP - Politics and International Relations	OP	Y
110	Politics and International Relations	103865	Operating: Politics & International Studies	OP	Y
110	Politics and International Relations	104385	13-Words to Deeds: Politics in Post-Crisis Intl Tax Reform	RT	Y
110	Politics and International Relations	105102	13-IAST+3 Approaches to case coordination trial project	RT	Y
110	Politics and International Relations	107781	F Gale-Sense T	OP	N
110	Politics and International Relations	108821	16-Killingsworth-Who do the laws of war protect?	OP	N
110	Politics and International Relations	109776	Kate Crowley - ARA	OP	Y
110	Politics and International Relations	109897	Operating: Politics & Policy	OP	Y
110	Politics and International Relations	109898	Operating: International Relations	OP	Y
110	Politics and International Relations	109899	Operating: Police	OP	Y
110	Politics and International Relations	110164	ARA - Prof Emeritus Peter Boyce	OP	Y
111	History and Classics	015526	Perm. Trust Funds	RT	Y
111	History and Classics	091145	Revenue & Gen Operating - History and Classics	OP	Y
111	History and Classics	098297	Accruals OP - History and Classics	OP	Y
111	History and Classics	102619	12 - Reform in the Antipodes: Quaker Humanitarians	RT	Y
111	History and Classics	103857	Operating: History & Classics	OP	Y
111	History and Classics	104402	Centre for Tasmanian Historical Studies	OP	Y
111	History and Classics	104430	13-ARC College	RT	Y
111	History and Classics	106171	Paul Turnbull - Research Support	OP	Y
111	History and Classics	106176	14-Cornstalks & new chums: crime & nutrition in settler Aus	RT	Y
111	History and Classics	107233	15-Return, Reconcile, Renew; understanding repatriation	RT	Y
111	History and Classics	107461	15-Treating Criminals from Shore to Ship	RT	Y
111	History and Classics	107475	15-Capital Offending	RT	Y
111	History and Classics	107537	15-Digital Panopticon of Punishment	RT	N
111	History and Classics	108186	15-Edmonds-Intimacy and violence on the Anglo Pacific Rim	RT	Y
111	History and Classics	108645	16-Miles-The 'likeness to god' in late-antique philosophy	OP	N
111	History and Classics	108698	Digital Humanities Conference 2016	OP	N
111	History and Classics	108753	AMPHORAE X Conference 2016	OP	N
111	History and Classics	108985	Pacific Rim Roman Literature Seminar	OP	N
111	History and Classics	109155	2016/17 - Penny Edmonds-post Future Fellowship Salary	OP	Y
111	History and Classics	109891	Operating: History	OP	Y
111	History and Classics	109892	Operating: Classics	OP	Y
111	History and Classics	109980	Jayne Knight - Research Support	OP	Y
111	History and Classics	109986	Hamish Maxwell-Stewart - ARA	OP	Y
112	Philosophy and Gender Studies	065227	Samuel O. Lovell	RT	Y
112	Philosophy and Gender Studies	091150	Revenue & Gen Operating - Philosophy and Gender Studies	OP	Y
